,movie,date,gross
0,-,August,-
1,-,May,-
2,The Super Mario Bros. Movie,April,"$637,528,578"
3,Creed III,March,"$638,150,657"
4,Ant-Man and the Wasp: Quantumania,February,"$499,389,940"
5,Avatar: The Way of Water,January,"$584,765,684"
