,movie,international-profit,domestic-profit,foreign-profit
94,Last Night of Amore,"$3,423,075",-,"$3,423,075"
95,A Thousand and One,"$3,352,125","$3,352,125",-
96,Neposlushnaya,"$3,339,676",-,"$3,339,676"
97,The Communion Girl,"$3,330,047",-,"$3,330,047"
98,Cats in the Museum,"$3,308,114",-,"$3,308,114"
99,Tramite amicizia,"$3,212,885",-,"$3,212,885"
100,Switch,"$3,146,901",-,"$3,146,901"
101,2023 Oscar Nominated Short Films: Live Action,"$3,025,631","$3,025,631",-
102,Mafia Mamma,"$2,908,874","$2,826,060","$82,814"
103,Count,"$2,871,507",-,"$2,871,507"
104,Two Tickets to Greece,"$2,744,074",-,"$2,744,074"
105,Grazie ragazzi,"$2,722,775",-,"$2,722,775"
106,Yudo: The Way of the Bath,"$2,681,954",-,"$2,681,954"
107,Varisu,"$2,528,333",-,"$2,528,333"
108,The Lulus,"$2,521,080",-,"$2,521,080"
109,When Will It Be Again Like It Never Was Before,"$2,520,464",-,"$2,520,464"
110,Ostrov,"$2,517,672",-,"$2,517,672"
111,Come Out in Jesus Name,"$2,500,574","$2,500,574",-
112,Klem,"$2,470,684",-,"$2,470,684"
113,Soulmate,"$2,466,306",-,"$2,466,306"
114,Illegal Hayatlar,"$2,372,356",-,"$2,372,356"
115,A Good Person,"$2,304,342","$2,210,465","$93,877"
116,El hotel de los líos. García y García 2,"$2,240,494",-,"$2,240,494"
117,The First Day of My Life,"$2,236,704",-,"$2,236,704"
118,Billie Eilish Live at the O2,"$2,123,117","$1,290,000","$833,117"
119,Woong-Nam,"$2,122,590",-,"$2,122,590"
120,Moving On,"$2,113,265","$2,113,265",-
121,Vaincre ou mourir,"$2,107,350",-,"$2,107,350"
122,Heaven in Hell,"$2,103,819",-,"$2,103,819"
123,"Romina, VTM","$2,100,148",-,"$2,100,148"
124,Everything Under Control,"$2,093,286",-,"$2,093,286"
125,Fear,"$2,090,261","$2,090,261",-
126,Svobodnyye otnosheniya,"$2,087,809",-,"$2,087,809"
127,Skinamarink,"$2,053,360","$2,052,272","$1,088"
128,My Beautiful Man ～Eternal～,"$1,978,687",-,"$1,978,687"
129,All Inclusive,"$1,926,671",-,"$1,926,671"
130,Caveman,"$1,827,270",-,"$1,827,270"
131,Andre Rieu In Dublin 2023,"$1,815,103",-,"$1,815,103"
132,Nefarious,"$1,777,638","$1,777,638",-
133,Do Unto Others,"$1,746,479",-,"$1,746,479"
134,Divertimento,"$1,690,265",-,"$1,690,265"
135,Huesera: The Bone Woman,"$1,685,340",-,"$1,685,340"
136,All of Those Voices,"$1,674,696",-,"$1,674,696"
137,Blueback,"$1,630,650",-,"$1,630,650"
138,Princes of the Desert,"$1,586,201",-,"$1,586,201"
139,Haita de actiune,"$1,563,668",-,"$1,563,668"
140,10 jours encore sans maman,"$1,549,588",-,"$1,549,588"
141,Romancham,"$1,544,653",-,"$1,544,653"
142,Byt,"$1,518,473",-,"$1,518,473"
143,Thunivu,"$1,510,268",-,"$1,510,268"
144,Dads Versus Moms,"$1,472,216",-,"$1,472,216"
145,Prání k narozeninám,"$1,458,945",-,"$1,458,945"
146,Invalid,"$1,415,024",-,"$1,415,024"
147,Consecration,"$1,381,769","$538,551","$843,218"
148,My Heart Puppy,"$1,373,203",-,"$1,373,203"
149,Grand Expectations,"$1,348,917",-,"$1,348,917"
150,Rye Lane,"$1,347,868",-,"$1,347,868"
151,Theory of Ambitions,"$1,344,185",-,"$1,344,185"
152,Broken,"$1,323,818",-,"$1,323,818"
153,Marui Video,"$1,321,380",-,"$1,321,380"
154,Le clan,"$1,316,331",-,"$1,316,331"
155,Hidden Blade,"$1,243,714","$803,189","$440,525"
156,"Baian the Assassin, M.D. Part 1","$1,234,515",-,"$1,234,515"
157,Bud chlap!,"$1,234,399",-,"$1,234,399"
158,Richard the Stork and the Mystery of the Great Jewel,"$1,219,092",-,"$1,219,092"
159,Beshenstvo,"$1,189,796",-,"$1,189,796"
160,Tchaikovsky's Wife,"$1,188,982",-,"$1,188,982"
161,Filip,"$1,183,109",-,"$1,183,109"
162,No Dogs or Italians Allowed,"$1,183,017",-,"$1,183,017"
163,The Lord of the Rings: The Return of the King 20th Anniversary,"$1,176,085","$1,176,085",-
164,Everything Everywhere All at Once 2023 Re-release,"$1,171,865",-,"$1,171,865"
165,Next Sohee,"$1,154,324",-,"$1,154,324"
166,Nabil El Gamil Dr. Tagmeel,"$1,146,553",-,"$1,146,553"
